ROUTE_ID,COMPANY_CODE,DISTRICT,ROUTE_NAMEC,ROUTE_NAMES,ROUTE_NAMEE,ROUTE_TYPE,SERVICE_MODE,SPECIAL_TYPE,JOURNEY_TIME,LOC_START_NAMEC,LOC_START_NAMES,LOC_START_NAMEE,LOC_END_NAMEC,LOC_END_NAMES,LOC_END_NAMEE,HYPERLINK_C,HYPERLINK_S,HYPERLINK_E,FULL_FARE,LAST_UPDATE_DATE
1001,KMB,,1,1,1,1,R,0,40.0,竹園邨,竹园邨,CHUK YUEN ESTATE,尖沙咀碼頭,尖沙咀码头,STAR FERRY,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=zh-hk,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=zh-cn,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=1&lang=en,6.7,2025-01-02
1002,KMB,,10,10,10,1,R,0,55.0,彩雲,彩云,CHOI WAN,大角咀(循環線),大角咀(循环线),TAI KOK TSUI (CIRCULAR),https://search.kmb.hk/KMBWebSite/?action=routesearch&route=10&lang=zh-hk,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=10&lang=zh-cn,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=10&lang=en,5.6,2024-12-13
1006,KMB+CTB,,102P,102P,102P,1,T,1,64.0,筲箕灣,筲箕湾,SHAU KEI WAN,美孚,美孚,MEI FOO,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=zh-hk,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=zh-cn,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=102P&lang=en,12.9,2023-06-18
1008,KMB+CTB,,103,103,103,1,R,0,59.0,竹園邨,竹园邨,CHUK YUEN ESTATE,蒲飛路,蒲飞路,POKFIELD RD,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=zh-hk,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=zh-cn,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=103&lang=en,12.9,2024-11-04
1010,KMB+CTB,,106,106,106,1,R,0,82.0,黃大仙,黄大仙,Wong Tai Sin,小西灣(藍灣半島),小西湾(蓝湾半岛),Siu Sai Wan (Island Resort),https://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=zh-hk,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=zh-cn,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=106&lang=en,12.9,2024-09-30
1014,KMB,,108,108,108,1,R,0,50.0,啟業,启业,KAI YIP,寶馬山,宝马山,BRAEMAR HILL,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=108&lang=zh-hk,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=108&lang=zh-cn,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=108&lang=en,12.4,2025-01-02
1015,KMB+CTB,,109,109,109,1,R,0,38.0,何文田,何文田,Ho Man Tin,中環(港澳碼頭),中环(港澳码头),Central (Macau Ferry),https://search.kmb.hk/KMBWebSite/?action=routesearch&route=109&lang=zh-hk,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=109&lang=zh-cn,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=109&lang=en,12.2,2024-05-10
1016,KMB,,11,11,11,1,R,0,45.0,鑽石山站,钻石山站,DIAMOND HILL STATION,九龍站,九龙站,KOWLOON STATION,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11&lang=zh-hk,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11&lang=zh-cn,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=11&lang=en,5.8,2024-05-24
1017,KMB+CTB,,110,110,110,1,T,0,84.0,筲箕灣,筲箕湾,SHAU KEI WAN,尖沙咀(循環線),尖沙咀(循环线),TSIM SHA TSUI (CIRCULAR),https://search.kmb.hk/KMBWebSite/?action=routesearch&route=110&lang=zh-hk,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=110&lang=zh-cn,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=110&lang=en,12.2,2024-06-28
1019,KMB+CTB,,112,112,112,1,R,0,52.0,北角,北角,North Point,蘇屋,苏屋,So Uk,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=112&lang=zh-hk,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=112&lang=zh-cn,https://search.kmb.hk/KMBWebSite/?action=routesearch&route=112&lang=en,12.2,2024-09-20
