COMPANY_CODE,COMPANY_NAMEC,COMPANY_NAMES,COMPANY_NAMEE,DESCRIPTION
CTB,城巴,城巴,CTB,Citybus
KMB,九巴,九巴,KMB,Kowloon Motor Bus
LWB,龍運巴士,龙运巴士,LWB,Long Win Bus
NLB,新大嶼山巴士,新大屿山巴士,NLB,New Lantao Bus
KMB+CTB,九巴/城巴,九巴/城巴,KMB/CTB,Joint Operation of KMB & CTB
LWB+CTB,龍運/城巴,龙运/城巴,LWB/CTB,Joint Operation of LWB & CTB
PI,馬灣巴士,马湾巴士,PI,Ma Wan Bus
DB,愉景灣巴士,愉景湾巴士,DB,Discovery Bay Bus
XB,落馬洲/皇崗過境巴士,落马洲/皇岗过境巴士,XB,Lok Ma Chau Cross Boundary Coach
LRTFeeder,港鐵巴士,港铁巴士,LRT FEEDER,Mass Transit Railway Feeder Bus
GMB,專線小巴,专线小巴,GMB,Green Minibus
FERRY,渡輪,渡轮,FERRY,Ferry
PTRAM,山頂纜車,山顶缆车,PTRAM,Peak Tram
TRAM,電車,电车,TRAM,Tram
