STOP_ID,STOP_TYPE,X,Y,LAST_UPDATE_DATE,STOP_CODE
2,1,843622,813951,2024-02-02,
3,1,843333,814109,2023-03-04,
4,1,842947,814013,2023-03-04,
5,1,842646,813814,2023-03-04,
6,1,842419,813736,2023-03-04,
7,1,842246,813653,2023-03-04,
8,1,842182,813741,2023-03-04,
9,1,842149,813996,2023-03-04,
10,1,842092,814350,2023-03-04,
11,1,842111,814519,2023-03-04,
12,1,842016,814846,2023-03-04,
13,1,841835,815086,2023-03-04,
15,1,836740,815798,2023-03-04,
16,1,836554,815722,2023-03-04,
17,1,831457,840927,2023-03-04,
18,1,836068,815612,2023-03-04,
19,1,835644,815588,2023-03-04,
20,1,831231,841090,2023-03-04,
21,1,834543,815898,2023-03-04,
22,1,834350,815826,2023-03-04,
23,1,834272,816048,2023-03-04,
24,1,834053,816219,2023-03-04,
26,1,834105,816179,2023-03-04,
27,1,834210,816042,2023-03-04,
28,1,834453,815978,2023-03-04,
30,1,835508,815645,2023-03-04,
31,1,835876,815624,2023-03-04,
32,1,836178,815914,2023-05-15,
33,1,841864,815086,2023-03-04,
35,1,842077,814745,2023-03-04,
36,1,842120,814412,2023-03-04,
40,1,842454,813774,2023-03-04,
42,1,842822,813944,2023-03-04,
43,1,842938,814035,2023-03-04,
46,1,843941,813766,2023-03-04,
48,1,842527,814357,2023-03-04,
49,1,838171,816605,2023-03-04,
50,1,838176,816468,2023-03-04,
51,1,838202,816314,2023-03-04,
53,1,838257,816249,2023-03-04,
54,1,838344,816464,2023-03-04,
55,1,838534,816486,2023-03-04,
56,1,838719,816423,2023-03-04,
57,1,838533,816074,2023-03-04,
58,1,838899,816952,2023-03-04,
59,1,838593,816885,2023-03-04,
60,1,838426,816849,2023-03-04,
61,1,838144,816768,2023-03-04,
62,1,837997,816589,2023-03-04,
63,1,837926,816216,2023-03-04,
64,1,837519,815698,2023-03-04,
66,1,836954,815055,2023-03-04,
67,1,837084,814626,2023-03-04,
68,1,836873,814582,2023-03-04,
69,1,836648,814737,2023-03-04,
74,1,842066,814511,2023-03-04,
75,1,841770,813828,2023-03-04,
79,1,840455,809885,2023-03-04,
80,1,840245,809624,2023-03-04,
82,1,840003,808944,2023-03-04,
84,1,840413,808669,2023-03-04,
87,1,840408,808664,2023-03-04,
89,1,839812,809248,2023-03-04,
90,1,840037,809489,2023-03-04,
91,1,840287,809675,2023-03-04,
93,1,841003,810754,2023-03-04,
94,1,840919,811582,2023-03-04,
95,1,842317,818753,2023-03-04,
96,1,841814,813923,2023-03-04,
97,1,842030,814469,2023-03-04,
99,1,842212,814010,2023-03-04,
100,1,841456,815393,2023-03-04,
101,1,841339,815568,2023-03-04,
102,1,841068,815761,2023-03-04,
103,1,840787,816064,2023-03-04,
104,1,840383,816178,2023-03-04,
105,1,840136,816189,2023-03-04,
106,1,839887,816206,2023-03-04,
107,1,839712,816444,2023-03-08,
108,1,839610,816779,2023-03-04,
109,1,839464,816950,2023-03-04,
110,1,839316,816998,2023-03-04,
111,1,839052,816988,2023-03-04,
112,1,838777,816927,2023-03-04,
113,1,836954,815681,2023-03-04,
116,1,836443,815498,2023-03-04,
118,1,836177,815437,2023-03-04,
119,1,835979,815415,2023-03-04,
120,1,835770,815394,2023-03-04,
121,1,835689,815400,2023-03-04,
122,1,835057,815462,2024-03-27,
124,1,833936,816300,2023-03-04,
125,1,833502,816629,2023-03-04,
127,1,833903,816342,2023-03-04,
128,1,834512,815761,2023-03-04,
129,1,834606,815696,2023-03-04,
130,1,834958,815533,2024-03-27,
131,1,835515,815439,2023-03-04,
132,1,835952,815436,2023-03-04,
133,1,836202,815464,2023-03-04,
134,1,836298,815477,2023-03-04,
135,1,836643,815593,2023-03-04,
136,1,837048,815708,2023-03-04,
137,1,837583,815779,2023-03-04,
139,1,837920,816521,2023-03-04,
140,1,838144,816797,2023-03-04,
141,1,838430,816875,2023-03-04,
142,1,838780,816951,2023-03-04,
143,1,838903,816977,2023-03-04,
144,1,839307,817023,2023-03-04,
146,1,839665,816681,2023-03-04,
147,1,839820,816304,2023-03-04,
148,1,840107,816212,2023-03-04,
149,1,840309,816209,2023-03-04,
151,1,840885,815970,2023-03-04,
152,1,841084,815772,2023-03-04,
155,1,842217,813970,2023-03-04,
156,1,842460,814004,2023-03-04,
157,1,843166,814251,2023-03-04,
159,1,843708,813805,2025-01-06,
161,1,843014,814319,2023-03-04,
163,1,833926,816392,2023-03-04,
166,1,842849,815253,2023-03-04,
167,1,842716,815421,2023-03-04,
169,1,841886,815765,2023-03-04,
170,1,841894,815555,2023-03-04,
171,1,841899,815422,2023-03-04,
172,1,841862,815251,2024-11-11,
173,1,840926,815874,2023-03-04,
174,1,840890,816049,2023-03-04,
175,1,841067,816147,2023-03-04,
176,1,841074,816036,2023-03-04,
178,1,838672,816950,2023-03-04,
179,1,838824,817153,2023-03-04,
180,1,840458,816272,2023-03-04,
181,1,840970,815943,2023-03-04,
182,1,841852,815238,2024-11-11,
183,1,841886,815478,2023-03-04,
185,1,841886,815796,2023-03-04,
187,1,842109,815991,2023-03-04,
188,1,842901,815158,2023-03-04,
190,1,842760,814619,2023-03-04,
193,1,835646,819170,2023-03-04,
194,1,835605,819401,2023-03-04,
197,1,835121,820596,2023-03-04,
199,1,834678,821204,2023-03-04,
203,1,834518,821334,2023-03-04,
204,1,834324,821654,2023-03-04,
205,1,834301,821806,2023-03-04,
206,1,834566,821817,2023-03-04,
207,1,834659,821424,2023-03-04,
208,1,834829,821264,2023-03-04,
209,1,835033,821091,2023-03-04,
210,1,835182,820969,2023-03-04,
211,1,835378,820715,2023-03-04,
212,1,835419,820487,2023-03-04,
214,1,835626,819406,2023-03-04,
216,1,835700,818992,2023-03-04,
219,1,836652,818079,2023-03-04,
220,1,837237,816134,2023-03-04,
221,1,837734,816322,2023-03-04,
222,1,837996,816726,2023-03-04,
223,1,838129,816883,2023-03-04,
228,1,838246,816809,2023-03-04,
230,1,836492,815437,2023-03-04,
231,1,836189,815327,2023-03-04,
232,1,835728,815508,2023-03-04,
233,1,835144,815556,2024-04-03,
234,1,836064,815391,2023-03-04,
235,1,836292,815366,2023-03-04,
236,1,836501,815449,2023-03-04,
237,1,836801,815358,2023-03-04,
238,1,837047,815413,2023-03-04,
240,1,834528,816347,2023-03-04,
241,1,834511,816209,2023-03-04,
244,1,834570,815420,2023-03-04,
245,1,834272,815291,2023-03-04,
246,1,833932,815614,2023-03-04,
247,1,833693,815831,2023-03-04,
248,1,833436,816000,2023-03-04,
249,1,833286,816027,2023-03-04,
250,1,833382,815997,2023-03-04,
252,1,833572,815779,2023-03-04,
253,1,833835,815532,2023-03-04,
254,1,834007,815242,2023-03-04,
255,1,834292,815406,2023-03-04,
256,1,834495,815491,2024-03-05,
257,1,834437,815669,2023-03-04,
258,1,834268,815892,2023-03-04,
259,1,834501,816238,2023-03-04,
261,1,834125,815841,2023-03-04,
262,1,833930,815954,2023-03-04,
263,1,833939,815896,2023-03-04,
264,1,833971,815683,2023-03-04,
265,1,832968,816215,2023-03-04,
266,1,832905,816142,2023-03-04,
267,1,832829,816113,2023-03-04,
268,1,832983,816170,2023-03-04,
269,1,833170,815966,2023-03-04,
270,1,833244,815926,2023-03-04,
271,1,833558,815744,2023-03-04,
274,1,835989,816137,2023-03-04,
276,1,836751,815638,2023-03-04,
277,1,837142,815686,2023-03-04,
279,1,837660,815504,2023-03-04,
280,1,837992,815357,2023-03-04,
282,1,838031,815887,2023-03-04,
283,1,838143,816113,2023-03-04,
284,1,838095,816208,2023-03-04,
285,1,838228,816499,2023-03-04,
286,1,838437,816583,2023-03-04,
287,1,838660,816583,2023-03-04,
288,1,838908,816647,2023-03-04,
289,1,838612,816266,2023-03-04,
291,1,838599,816248,2023-03-04,
292,1,838548,816462,2023-03-04,
293,1,838382,816481,2023-03-04,
294,1,838321,816399,2023-03-04,
295,1,838234,816214,2023-11-09,
296,1,838179,816503,2023-03-04,
297,1,837735,816061,2023-03-04,
300,1,837994,815807,2023-03-04,
301,1,837997,815555,2023-03-04,
304,1,837697,815460,2023-03-04,
306,1,832399,813206,2023-03-04,
307,1,832242,813359,2023-03-04,
308,1,832243,813018,2023-03-23,
309,1,832551,812615,2023-03-04,
310,1,833337,812297,2023-03-04,
312,1,834349,812084,2023-03-04,
313,1,834784,812219,2023-03-04,
315,1,836149,812357,2023-03-04,
316,1,836617,815262,2023-03-04,
318,1,835455,815421,2023-03-04,
319,1,834749,815623,2023-03-04,
320,1,834090,816113,2023-03-04,
321,1,833903,816159,2023-03-04,
322,1,833627,816174,2023-03-04,
323,1,833405,816344,2023-03-04,
324,1,833015,816415,2023-03-04,
325,1,832755,816438,2023-03-04,
