ROUTE_ID,CHANGE
2010500,ADD
2010501,ADD
2000996,UPDATE
2001005,UPDATE
2001006,UPDATE
2001013,UPDATE
2001015,UPDATE
2001019,UPDATE
2001023,UPDATE
2001025,UPDATE
2001027,UPDATE
2001029,UPDATE
2001161,UPDATE
2002020,UPDATE
2002329,UPDATE
2002712,UPDATE
2003042,UPDATE
2003999,UPDATE
2004081,UPDATE
2004085,UPDATE
2004089,UPDATE
2004092,UPDATE
2004095,UPDATE
2004096,UPDATE
2004097,UPDATE
2004098,UPDATE
2004099,UPDATE
2004100,UPDATE
2004164,UPDATE
2004329,UPDATE
2004330,UPDATE
2004331,UPDATE
2005286,UPDATE
2005287,UPDATE
2005288,UPDATE
2006309,UPDATE
2008157,UPDATE
2008520,UPDATE
2009147,UPDATE
2009873,UPDATE
2010335,UPDATE
2010368,UPDATE
2010401,UPDATE
2010434,UPDATE
2010467,UPDATE
2010500,UPDATE
2010501,UPDATE
