ROUTE_ID,ROUTE_SEQ,CHANGE
1000574,1,ADD
1000574,2,ADD
1000575,1,ADD
1000587,1,ADD
1460,1,UPDATE
1505,2,UPDATE
1511,1,UPDATE
1511,2,UPDATE
1562,1,UPDATE
1622,1,UPDATE
1631,1,UPDATE
1705,1,UPDATE
1876,1,UPDATE
1956,2,UPDATE
8118,1,UPDATE
8138,2,UPDATE
8295,1,UPDATE
8326,1,UPDATE
8369,1,UPDATE
8554,1,UPDATE
8555,1,UPDATE
8593,1,UPDATE
8593,2,UPDATE
8640,1,UPDATE
8691,1,UPDATE
8727,1,UPDATE
8727,2,UPDATE
8765,1,UPDATE
8780,2,UPDATE
8782,1,UPDATE
1000009,1,UPDATE
1000011,1,UPDATE
1000019,1,UPDATE
1000019,2,UPDATE
1000021,1,UPDATE
1000023,2,UPDATE
1000024,1,UPDATE
1000025,1,UPDATE
1000029,1,UPDATE
1000031,1,UPDATE
1000033,1,UPDATE
1000035,1,UPDATE
1000047,1,UPDATE
1000047,2,UPDATE
1000049,1,UPDATE
1000051,1,UPDATE
1000053,1,UPDATE
1000054,1,UPDATE
1000055,1,UPDATE
1000061,1,UPDATE
1000064,1,UPDATE
1000065,2,UPDATE
1000067,1,UPDATE
1000069,1,UPDATE
1000070,1,UPDATE
1000074,1,UPDATE
1000074,2,UPDATE
1000075,1,UPDATE
1000076,2,UPDATE
1000077,1,UPDATE
1000079,1,UPDATE
1000079,2,UPDATE
1000081,1,UPDATE
1000083,1,UPDATE
1000084,1,UPDATE
1000085,1,UPDATE
1000085,2,UPDATE
1000086,1,UPDATE
1000088,1,UPDATE
1000088,2,UPDATE
1000089,1,UPDATE
1000089,2,UPDATE
1000092,1,UPDATE
1000092,2,UPDATE
1000099,1,UPDATE
1000100,1,UPDATE
1000102,1,UPDATE
1000103,1,UPDATE
1000104,1,UPDATE
1000106,1,UPDATE
1000116,1,UPDATE
1000117,1,UPDATE
1000124,1,UPDATE
1000132,1,UPDATE
1000142,1,UPDATE
1000150,1,UPDATE
