ROUTE_ID,ROUTE_SEQ,CHANGE
2010500,1,ADD
2010501,1,ADD
2000996,1,UPDATE
2000996,2,UPDATE
2001005,1,UPDATE
2001006,1,UPDATE
2001013,1,UPDATE
2001013,2,UPDATE
2001015,1,UPDATE
2001015,2,UPDATE
2001019,1,UPDATE
2001023,1,UPDATE
2001023,2,UPDATE
2001025,1,UPDATE
2001025,2,UPDATE
2001027,1,UPDATE
2001027,2,UPDATE
2001029,1,UPDATE
2001161,1,UPDATE
2001161,2,UPDATE
2002020,1,UPDATE
2002329,1,UPDATE
2002329,2,UPDATE
2002712,1,UPDATE
2002712,2,UPDATE
2003042,1,UPDATE
2003999,1,UPDATE
2003999,2,UPDATE
2004081,1,UPDATE
2004081,2,UPDATE
2004085,1,UPDATE
2004089,1,UPDATE
2004089,2,UPDATE
2004092,1,UPDATE
2004092,2,UPDATE
2004095,1,UPDATE
2004095,2,UPDATE
2004096,1,UPDATE
2004097,1,UPDATE
2004097,2,UPDATE
2004098,1,UPDATE
2004098,2,UPDATE
2004099,1,UPDATE
2004100,1,UPDATE
2004100,2,UPDATE
2004164,1,UPDATE
2004164,2,UPDATE
2004329,1,UPDATE
2004329,2,UPDATE
2004330,1,UPDATE
2004330,2,UPDATE
2004331,1,UPDATE
2004331,2,UPDATE
2005286,1,UPDATE
2005287,1,UPDATE
2005288,1,UPDATE
2006309,1,UPDATE
2006309,2,UPDATE
2008157,1,UPDATE
2008520,1,UPDATE
2009147,1,UPDATE
2009147,2,UPDATE
2009873,1,UPDATE
2010335,1,UPDATE
2010368,1,UPDATE
2010368,2,UPDATE
2010401,1,UPDATE
2010401,2,UPDATE
2010434,1,UPDATE
2010467,1,UPDATE
2010500,1,UPDATE
2010501,1,UPDATE
