STOP_ID,CHANGE
20009805,ADD
20020953,ADD
20020954,ADD
20020955,ADD
20020956,ADD
20020957,ADD
20020958,ADD
20020959,ADD
20020986,ADD
20000545,DELETE
20007345,DELETE
20011480,DELETE
20000003,UPDATE
20000004,UPDATE
20000007,UPDATE
20000008,UPDATE
20000009,UPDATE
20000010,UPDATE
20000011,UPDATE
20000012,UPDATE
20000013,UPDATE
20000015,UPDATE
20000016,UPDATE
20000017,UPDATE
20000018,UPDATE
20000019,UPDATE
20000020,UPDATE
20000021,UPDATE
20000024,UPDATE
20000025,UPDATE
20000026,UPDATE
20000048,UPDATE
20000049,UPDATE
20000052,UPDATE
20000053,UPDATE
20000057,UPDATE
20000058,UPDATE
20000066,UPDATE
20000072,UPDATE
20000075,UPDATE
20000080,UPDATE
20000081,UPDATE
20000084,UPDATE
20000085,UPDATE
20000088,UPDATE
20000089,UPDATE
20000090,UPDATE
20000091,UPDATE
20000092,UPDATE
20000093,UPDATE
20000094,UPDATE
20000095,UPDATE
20000096,UPDATE
20000097,UPDATE
20000098,UPDATE
20000099,UPDATE
20000101,UPDATE
20000102,UPDATE
20000103,UPDATE
20000104,UPDATE
20000105,UPDATE
20000106,UPDATE
20000107,UPDATE
20000108,UPDATE
20000109,UPDATE
20000110,UPDATE
20000111,UPDATE
20000118,UPDATE
20000119,UPDATE
20000120,UPDATE
20000121,UPDATE
20000122,UPDATE
20000123,UPDATE
20000124,UPDATE
20000125,UPDATE
20000126,UPDATE
20000127,UPDATE
20000130,UPDATE
20000134,UPDATE
20000135,UPDATE
20000136,UPDATE
20000137,UPDATE
20000138,UPDATE
20000139,UPDATE
20000140,UPDATE
20000142,UPDATE
20000143,UPDATE
20000146,UPDATE
20000147,UPDATE
20000152,UPDATE
20000157,UPDATE
20000159,UPDATE
20000160,UPDATE
20000161,UPDATE
20000165,UPDATE
20000166,UPDATE
20000169,UPDATE
20000173,UPDATE
20000174,UPDATE
20000175,UPDATE
20000177,UPDATE
20000210,UPDATE
20000211,UPDATE
20000215,UPDATE
20000218,UPDATE
20000219,UPDATE
20000234,UPDATE
20000238,UPDATE
20000239,UPDATE
20000240,UPDATE
20000242,UPDATE
20000243,UPDATE
20000246,UPDATE
20000247,UPDATE
20000248,UPDATE
20000249,UPDATE
20000251,UPDATE
20000253,UPDATE
20000254,UPDATE
20000255,UPDATE
20000256,UPDATE
20000257,UPDATE
20000258,UPDATE
20000260,UPDATE
20000263,UPDATE
20000264,UPDATE
20000266,UPDATE
20000267,UPDATE
20000268,UPDATE
20000270,UPDATE
20000271,UPDATE
20000272,UPDATE
20000273,UPDATE
20000274,UPDATE
20000275,UPDATE
20000276,UPDATE
20000277,UPDATE
20000281,UPDATE
20000282,UPDATE
20000283,UPDATE
20000284,UPDATE
20000289,UPDATE
20000290,UPDATE
20000294,UPDATE
20000295,UPDATE
20000296,UPDATE
20000297,UPDATE
20000298,UPDATE
20000299,UPDATE
20000300,UPDATE
20000302,UPDATE
20000303,UPDATE
20000304,UPDATE
20000305,UPDATE
20000307,UPDATE
20000308,UPDATE
20000309,UPDATE
20000310,UPDATE
20000311,UPDATE
20000312,UPDATE
20000313,UPDATE
20000314,UPDATE
20000315,UPDATE
20000318,UPDATE
20000322,UPDATE
20000324,UPDATE
20000325,UPDATE
20000326,UPDATE
20000327,UPDATE
20000328,UPDATE
20000329,UPDATE
20000330,UPDATE
20000331,UPDATE
20000332,UPDATE
20000334,UPDATE
20000335,UPDATE
20000336,UPDATE
20000338,UPDATE
20000340,UPDATE
20000341,UPDATE
20000342,UPDATE
20000343,UPDATE
20000347,UPDATE
20000348,UPDATE
20000349,UPDATE
20000352,UPDATE
20000356,UPDATE
20000358,UPDATE
20000359,UPDATE
20000360,UPDATE
20000361,UPDATE
20000362,UPDATE
20000363,UPDATE
20000366,UPDATE
20000367,UPDATE
20000368,UPDATE
20000369,UPDATE
20000370,UPDATE
20000378,UPDATE
20000380,UPDATE
20000383,UPDATE
20000394,UPDATE
20000396,UPDATE
20000398,UPDATE
20000409,UPDATE
20000411,UPDATE
20000418,UPDATE
20000420,UPDATE
20000433,UPDATE
20000440,UPDATE
20000443,UPDATE
20000444,UPDATE
20000446,UPDATE
20000453,UPDATE
20000454,UPDATE
20000456,UPDATE
20000458,UPDATE
20000462,UPDATE
20000465,UPDATE
20000466,UPDATE
20000467,UPDATE
20000468,UPDATE
20000469,UPDATE
20000470,UPDATE
20000472,UPDATE
20000473,UPDATE
20000475,UPDATE
20000476,UPDATE
20000478,UPDATE
20000479,UPDATE
20000482,UPDATE
20000483,UPDATE
20000484,UPDATE
20000489,UPDATE
20000490,UPDATE
20000506,UPDATE
20000508,UPDATE
20000519,UPDATE
20000540,UPDATE
20000541,UPDATE
20000544,UPDATE
20000546,UPDATE
20000547,UPDATE
20000550,UPDATE
20000551,UPDATE
20000553,UPDATE
20000554,UPDATE
20000556,UPDATE
20000557,UPDATE
20000558,UPDATE
20000561,UPDATE
20000563,UPDATE
20000566,UPDATE
20000568,UPDATE
20000580,UPDATE
20000581,UPDATE
20000582,UPDATE
20000583,UPDATE
20000584,UPDATE
20000585,UPDATE
20000586,UPDATE
20000588,UPDATE
20000589,UPDATE
20000590,UPDATE
20000591,UPDATE
20000592,UPDATE
20000594,UPDATE
20000595,UPDATE
20000596,UPDATE
20000597,UPDATE
20000598,UPDATE
20000599,UPDATE
20000600,UPDATE
20000603,UPDATE
20000604,UPDATE
20000607,UPDATE
20000613,UPDATE
20000615,UPDATE
20000620,UPDATE
20000622,UPDATE
20000625,UPDATE
20000626,UPDATE
20000627,UPDATE
20000628,UPDATE
20000629,UPDATE
20000630,UPDATE
20000631,UPDATE
20000633,UPDATE
20000662,UPDATE
20000673,UPDATE
20000678,UPDATE
20000680,UPDATE
20000681,UPDATE
20000682,UPDATE
20000683,UPDATE
20000684,UPDATE
20000685,UPDATE
20000686,UPDATE
20000687,UPDATE
20000688,UPDATE
20000690,UPDATE
20000691,UPDATE
20000694,UPDATE
20000696,UPDATE
20000697,UPDATE
20000698,UPDATE
20000700,UPDATE
20000701,UPDATE
20000702,UPDATE
20000703,UPDATE
20000704,UPDATE
20000706,UPDATE
20000707,UPDATE
20000709,UPDATE
20000710,UPDATE
20000714,UPDATE
20000715,UPDATE
20000716,UPDATE
20000717,UPDATE
20000718,UPDATE
20000719,UPDATE
20000720,UPDATE
20000721,UPDATE
20000723,UPDATE
20000724,UPDATE
20000725,UPDATE
20000726,UPDATE
20000727,UPDATE
20000731,UPDATE
20000733,UPDATE
20000735,UPDATE
20000736,UPDATE
20000737,UPDATE
20000739,UPDATE
20000740,UPDATE
20000742,UPDATE
20000744,UPDATE
20000745,UPDATE
20000746,UPDATE
20000747,UPDATE
20000748,UPDATE
20000749,UPDATE
20000752,UPDATE
20000753,UPDATE
20000758,UPDATE
20000761,UPDATE
20000762,UPDATE
20000763,UPDATE
20000772,UPDATE
20000785,UPDATE
20000786,UPDATE
20000787,UPDATE
20000788,UPDATE
20000789,UPDATE
20000790,UPDATE
20000791,UPDATE
20000794,UPDATE
20000796,UPDATE
20000797,UPDATE
20000798,UPDATE
20000799,UPDATE
20000800,UPDATE
20000801,UPDATE
20000802,UPDATE
20000808,UPDATE
20000809,UPDATE
20000810,UPDATE
20000814,UPDATE
20000815,UPDATE
20000819,UPDATE
20000820,UPDATE
20000821,UPDATE
20000823,UPDATE
20000824,UPDATE
20000831,UPDATE
20000859,UPDATE
20000866,UPDATE
20000867,UPDATE
20000868,UPDATE
20000870,UPDATE
20000872,UPDATE
20000894,UPDATE
20000895,UPDATE
20000905,UPDATE
20000907,UPDATE
20000909,UPDATE
20000911,UPDATE
20000912,UPDATE
20000916,UPDATE
20000923,UPDATE
20000935,UPDATE
20000936,UPDATE
20000946,UPDATE
20000952,UPDATE
20000953,UPDATE
20000954,UPDATE
20000955,UPDATE
20000960,UPDATE
20000968,UPDATE
20000969,UPDATE
20000973,UPDATE
20000975,UPDATE
20000976,UPDATE
20000978,UPDATE
20000980,UPDATE
20000983,UPDATE
20000985,UPDATE
20000986,UPDATE
20000987,UPDATE
20000988,UPDATE
20000989,UPDATE
20000990,UPDATE
20000991,UPDATE
20000992,UPDATE
20000993,UPDATE
20000994,UPDATE
20000995,UPDATE
20001020,UPDATE
20001039,UPDATE
20001045,UPDATE
20001049,UPDATE
20001050,UPDATE
20001053,UPDATE
20001058,UPDATE
20001060,UPDATE
20001082,UPDATE
20001093,UPDATE
20001099,UPDATE
20001112,UPDATE
20001113,UPDATE
20001114,UPDATE
20001115,UPDATE
20001116,UPDATE
20001117,UPDATE
20001118,UPDATE
20001119,UPDATE
20001120,UPDATE
20001121,UPDATE
20001128,UPDATE
20001129,UPDATE
20001130,UPDATE
20001133,UPDATE
20001137,UPDATE
20001140,UPDATE
20001142,UPDATE
20001144,UPDATE
20001145,UPDATE
20001146,UPDATE
20001149,UPDATE
20001150,UPDATE
20001151,UPDATE
20001152,UPDATE
20001154,UPDATE
20001159,UPDATE
20001161,UPDATE
20001162,UPDATE
20001163,UPDATE
20001164,UPDATE
20001166,UPDATE
20001169,UPDATE
20001170,UPDATE
20001171,UPDATE
20001172,UPDATE
20001174,UPDATE
20001175,UPDATE
20001193,UPDATE
